index,power,Date.Time,Date,Time,year,month.April,month.August,month.December,month.February,month.January,month.July,month.June,month.March,month.May,month.November,month.October,month.September,day.of.week.Friday,day.of.week.Monday,day.of.week.Saturday,day.of.week.Sunday,day.of.week.Thursday
1,310.9402580261,2014-05-01 00:00:00,2014-05-01,12:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,304.8444188436,2014-05-01 01:00:00,2014-05-01,01:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,300.8684310913,2014-05-01 02:00:00,2014-05-01,02:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,291.949740092,2014-05-01 03:00:00,2014-05-01,03:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,291.6961619059,2014-05-01 04:00:00,2014-05-01,04:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,294.5239893595,2014-05-01 05:00:00,2014-05-01,05:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,296.1325963338,2014-05-01 06:00:00,2014-05-01,06:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,291.6506067912,2014-05-01 07:00:00,2014-05-01,07:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9,278.8266270955,2014-05-01 08:00:00,2014-05-01,08:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,282.898958842,2014-05-01 09:00:00,2014-05-01,09:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,266.3493347168,2014-05-01 10:00:00,2014-05-01,10:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,263.6313934326,2014-05-01 11:00:00,2014-05-01,11:00 AM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13,262.0533167521,2014-05-01 12:00:00,2014-05-01,12:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14,302.6780700684,2014-05-01 13:00:00,2014-05-01,01:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,298.8923746745,2014-05-01 14:00:00,2014-05-01,02:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16,287.8266042074,2014-05-01 15:00:00,2014-05-01,03:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,279.3757858276,2014-05-01 16:00:00,2014-05-01,04:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18,290.9430567424,2014-05-01 17:00:00,2014-05-01,05:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,300.0486984253,2014-05-01 18:00:00,2014-05-01,06:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,317.5937576294,2014-05-01 19:00:00,2014-05-01,07:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,328.2105941772,2014-05-01 20:00:00,2014-05-01,08:00 PM,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
