"index","date.time","date","time","year","month","day.of.week","day.of.year","day.of.month","week.of.year","week.of.month","quarter","hour","holiday","power"
1,2014-05-01 00:00:00,2014-05-01,"12:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",0,"No",310.940258026123
2,2014-05-01 01:00:00,2014-05-01,"01:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",1,"No",304.844418843587
3,2014-05-01 02:00:00,2014-05-01,"02:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",2,"No",300.868431091309
4,2014-05-01 03:00:00,2014-05-01,"03:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",3,"No",291.94974009196
5,2014-05-01 04:00:00,2014-05-01,"04:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",4,"No",291.696161905924
6,2014-05-01 05:00:00,2014-05-01,"05:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",5,"No",294.523989359538
7,2014-05-01 06:00:00,2014-05-01,"06:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",6,"No",296.132596333822
8,2014-05-01 07:00:00,2014-05-01,"07:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",7,"No",291.650606791178
9,2014-05-01 08:00:00,2014-05-01,"08:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",8,"No",278.82662709554
10,2014-05-01 09:00:00,2014-05-01,"09:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",9,"No",282.89895884196
11,2014-05-01 10:00:00,2014-05-01,"10:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",10,"No",266.349334716797
12,2014-05-01 11:00:00,2014-05-01,"11:00 AM",2014,"May","Thursday",121,1,18,"1","Q2",11,"No",263.631393432617
13,2014-05-01 12:00:00,2014-05-01,"12:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",12,"No",262.053316752116
14,2014-05-01 13:00:00,2014-05-01,"01:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",13,"No",302.678070068359
15,2014-05-01 14:00:00,2014-05-01,"02:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",14,"No",298.892374674479
16,2014-05-01 15:00:00,2014-05-01,"03:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",15,"No",287.826604207357
17,2014-05-01 16:00:00,2014-05-01,"04:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",16,"No",279.375785827637
18,2014-05-01 17:00:00,2014-05-01,"05:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",17,"No",290.94305674235
19,2014-05-01 18:00:00,2014-05-01,"06:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",18,"No",300.048698425293
20,2014-05-01 19:00:00,2014-05-01,"07:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",19,"No",317.593757629395
21,2014-05-01 20:00:00,2014-05-01,"08:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",20,"No",328.210594177246
22,2014-05-01 21:00:00,2014-05-01,"09:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",21,"No",317.15852355957
23,2014-05-01 22:00:00,2014-05-01,"10:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",22,"No",314.666180928548
24,2014-05-01 23:00:00,2014-05-01,"11:00 PM",2014,"May","Thursday",121,1,18,"1","Q2",23,"No",310.334350585938
25,2014-05-02 00:00:00,2014-05-02,"12:00 AM",2014,"May","Friday",122,2,18,"1","Q2",0,"No",302.152587890625
26,2014-05-02 01:00:00,2014-05-02,"01:00 AM",2014,"May","Friday",122,2,18,"1","Q2",1,"No",302.371065775553
27,2014-05-02 02:00:00,2014-05-02,"02:00 AM",2014,"May","Friday",122,2,18,"1","Q2",2,"No",294.51264444987
28,2014-05-02 03:00:00,2014-05-02,"03:00 AM",2014,"May","Friday",122,2,18,"1","Q2",3,"No",291.164866129557
29,2014-05-02 04:00:00,2014-05-02,"04:00 AM",2014,"May","Friday",122,2,18,"1","Q2",4,"No",286.548065185547
30,2014-05-02 05:00:00,2014-05-02,"05:00 AM",2014,"May","Friday",122,2,18,"1","Q2",5,"No",283.567387898763
31,2014-05-02 06:00:00,2014-05-02,"06:00 AM",2014,"May","Friday",122,2,18,"1","Q2",6,"No",284.624771118164
32,2014-05-02 07:00:00,2014-05-02,"07:00 AM",2014,"May","Friday",122,2,18,"1","Q2",7,"No",276.628763834635
33,2014-05-02 08:00:00,2014-05-02,"08:00 AM",2014,"May","Friday",122,2,18,"1","Q2",8,"No",280.857126871745
34,2014-05-02 09:00:00,2014-05-02,"09:00 AM",2014,"May","Friday",122,2,18,"1","Q2",9,"No",283.088221232096
35,2014-05-02 10:00:00,2014-05-02,"10:00 AM",2014,"May","Friday",122,2,18,"1","Q2",10,"No",264.302955627441
36,2014-05-02 11:00:00,2014-05-02,"11:00 AM",2014,"May","Friday",122,2,18,"1","Q2",11,"No",252.100789388021
37,2014-05-02 12:00:00,2014-05-02,"12:00 PM",2014,"May","Friday",122,2,18,"1","Q2",12,"No",248.70182800293
38,2014-05-02 13:00:00,2014-05-02,"01:00 PM",2014,"May","Friday",122,2,18,"1","Q2",13,"No",245.622187296549
39,2014-05-02 14:00:00,2014-05-02,"02:00 PM",2014,"May","Friday",122,2,18,"1","Q2",14,"No",262.107889811198
40,2014-05-02 15:00:00,2014-05-02,"03:00 PM",2014,"May","Friday",122,2,18,"1","Q2",15,"No",239.872166951497
41,2014-05-02 16:00:00,2014-05-02,"04:00 PM",2014,"May","Friday",122,2,18,"1","Q2",16,"No",234.378980000814
42,2014-05-02 17:00:00,2014-05-02,"05:00 PM",2014,"May","Friday",122,2,18,"1","Q2",17,"No",265.241544087728
43,2014-05-02 18:00:00,2014-05-02,"06:00 PM",2014,"May","Friday",122,2,18,"1","Q2",18,"No",247.96183013916
44,2014-05-02 19:00:00,2014-05-02,"07:00 PM",2014,"May","Friday",122,2,18,"1","Q2",19,"No",255.995076497396
45,2014-05-02 20:00:00,2014-05-02,"08:00 PM",2014,"May","Friday",122,2,18,"1","Q2",20,"No",269.265162150065
46,2014-05-02 21:00:00,2014-05-02,"09:00 PM",2014,"May","Friday",122,2,18,"1","Q2",21,"No",263.013086954753
47,2014-05-02 22:00:00,2014-05-02,"10:00 PM",2014,"May","Friday",122,2,18,"1","Q2",22,"No",252.250180562337
48,2014-05-02 23:00:00,2014-05-02,"11:00 PM",2014,"May","Friday",122,2,18,"1","Q2",23,"No",255.83110555013
49,2014-05-03 00:00:00,2014-05-03,"12:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",0,"No",254.148333231608
50,2014-05-03 01:00:00,2014-05-03,"01:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",1,"No",250.401565551758
51,2014-05-03 02:00:00,2014-05-03,"02:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",2,"No",249.668833414714
52,2014-05-03 03:00:00,2014-05-03,"03:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",3,"No",245.005015055339
53,2014-05-03 04:00:00,2014-05-03,"04:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",4,"No",247.662930806478
54,2014-05-03 05:00:00,2014-05-03,"05:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",5,"No",245.948621114095
55,2014-05-03 06:00:00,2014-05-03,"06:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",6,"No",241.123474121094
56,2014-05-03 07:00:00,2014-05-03,"07:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",7,"No",231.374509175618
57,2014-05-03 08:00:00,2014-05-03,"08:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",8,"No",216.061754862467
58,2014-05-03 09:00:00,2014-05-03,"09:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",9,"No",196.447179158529
59,2014-05-03 10:00:00,2014-05-03,"10:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",10,"No",195.154184977214
60,2014-05-03 11:00:00,2014-05-03,"11:00 AM",2014,"May","Saturday",123,3,18,"1","Q2",11,"No",199.885055541992
61,2014-05-03 12:00:00,2014-05-03,"12:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",12,"No",189.848821004232
62,2014-05-03 13:00:00,2014-05-03,"01:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",13,"No",180.698196411133
63,2014-05-03 14:00:00,2014-05-03,"02:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",14,"No",185.670321146647
64,2014-05-03 15:00:00,2014-05-03,"03:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",15,"No",185.497731526693
65,2014-05-03 16:00:00,2014-05-03,"04:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",16,"No",195.474001566569
66,2014-05-03 17:00:00,2014-05-03,"05:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",17,"No",203.353136698405
67,2014-05-03 18:00:00,2014-05-03,"06:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",18,"No",225.493637084961
68,2014-05-03 19:00:00,2014-05-03,"07:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",19,"No",241.96410369873
69,2014-05-03 20:00:00,2014-05-03,"08:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",20,"No",248.724161783854
70,2014-05-03 21:00:00,2014-05-03,"09:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",21,"No",248.112909952799
71,2014-05-03 22:00:00,2014-05-03,"10:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",22,"No",251.788246154785
72,2014-05-03 23:00:00,2014-05-03,"11:00 PM",2014,"May","Saturday",123,3,18,"1","Q2",23,"No",255.99885559082
73,2014-05-04 00:00:00,2014-05-04,"12:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",0,"No",247.123550415039
74,2014-05-04 01:00:00,2014-05-04,"01:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",1,"No",252.66658782959
75,2014-05-04 02:00:00,2014-05-04,"02:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",2,"No",256.024500528971
76,2014-05-04 03:00:00,2014-05-04,"03:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",3,"No",255.520874023438
77,2014-05-04 04:00:00,2014-05-04,"04:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",4,"No",255.435246785482
78,2014-05-04 05:00:00,2014-05-04,"05:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",5,"No",251.103640238444
79,2014-05-04 06:00:00,2014-05-04,"06:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",6,"No",252.297289530436
80,2014-05-04 07:00:00,2014-05-04,"07:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",7,"No",232.98247273763
81,2014-05-04 08:00:00,2014-05-04,"08:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",8,"No",215.415390014648
82,2014-05-04 09:00:00,2014-05-04,"09:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",9,"No",199.608164469401
83,2014-05-04 10:00:00,2014-05-04,"10:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",10,"No",192.792254130046
84,2014-05-04 11:00:00,2014-05-04,"11:00 AM",2014,"May","Sunday",124,4,18,"1","Q2",11,"No",186.237948099772
85,2014-05-04 12:00:00,2014-05-04,"12:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",12,"No",181.88452911377
86,2014-05-04 13:00:00,2014-05-04,"01:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",13,"No",184.25218963623
87,2014-05-04 14:00:00,2014-05-04,"02:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",14,"No",181.33179473877
88,2014-05-04 15:00:00,2014-05-04,"03:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",15,"No",191.439071655273
89,2014-05-04 16:00:00,2014-05-04,"04:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",16,"No",208.072842915853
90,2014-05-04 17:00:00,2014-05-04,"05:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",17,"No",226.053258260091
91,2014-05-04 18:00:00,2014-05-04,"06:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",18,"No",235.721995035807
92,2014-05-04 19:00:00,2014-05-04,"07:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",19,"No",251.079274495443
93,2014-05-04 20:00:00,2014-05-04,"08:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",20,"No",268.913185119629
94,2014-05-04 21:00:00,2014-05-04,"09:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",21,"No",263.85972849528
95,2014-05-04 22:00:00,2014-05-04,"10:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",22,"No",261.213778177897
96,2014-05-04 23:00:00,2014-05-04,"11:00 PM",2014,"May","Sunday",124,4,18,"1","Q2",23,"No",262.422508239746
97,2014-05-05 00:00:00,2014-05-05,"12:00 AM",2014,"May","Monday",125,5,18,"1","Q2",0,"No",261.48969523112
98,2014-05-05 01:00:00,2014-05-05,"01:00 AM",2014,"May","Monday",125,5,18,"1","Q2",1,"No",265.071899414062
99,2014-05-05 02:00:00,2014-05-05,"02:00 AM",2014,"May","Monday",125,5,18,"1","Q2",2,"No",260.488708496094
100,2014-05-05 03:00:00,2014-05-05,"03:00 AM",2014,"May","Monday",125,5,18,"1","Q2",3,"No",260.240669250488
101,2014-05-05 04:00:00,2014-05-05,"04:00 AM",2014,"May","Monday",125,5,18,"1","Q2",4,"No",264.527582804362
102,2014-05-05 05:00:00,2014-05-05,"05:00 AM",2014,"May","Monday",125,5,18,"1","Q2",5,"No",263.926132202148
103,2014-05-05 06:00:00,2014-05-05,"06:00 AM",2014,"May","Monday",125,5,18,"1","Q2",6,"No",264.731010437012
104,2014-05-05 07:00:00,2014-05-05,"07:00 AM",2014,"May","Monday",125,5,18,"1","Q2",7,"No",257.45765431722
105,2014-05-05 08:00:00,2014-05-05,"08:00 AM",2014,"May","Monday",125,5,18,"1","Q2",8,"No",262.701100667318
106,2014-05-05 09:00:00,2014-05-05,"09:00 AM",2014,"May","Monday",125,5,18,"1","Q2",9,"No",256.935699462891
107,2014-05-05 10:00:00,2014-05-05,"10:00 AM",2014,"May","Monday",125,5,18,"1","Q2",10,"No",253.687347412109
108,2014-05-05 11:00:00,2014-05-05,"11:00 AM",2014,"May","Monday",125,5,18,"1","Q2",11,"No",238.116142272949
109,2014-05-05 12:00:00,2014-05-05,"12:00 PM",2014,"May","Monday",125,5,18,"1","Q2",12,"No",237.725341796875
110,2014-05-05 13:00:00,2014-05-05,"01:00 PM",2014,"May","Monday",125,5,18,"1","Q2",13,"No",231.657910664876
111,2014-05-05 14:00:00,2014-05-05,"02:00 PM",2014,"May","Monday",125,5,18,"1","Q2",14,"No",239.159507751465
112,2014-05-05 15:00:00,2014-05-05,"03:00 PM",2014,"May","Monday",125,5,18,"1","Q2",15,"No",248.790832519531
113,2014-05-05 16:00:00,2014-05-05,"04:00 PM",2014,"May","Monday",125,5,18,"1","Q2",16,"No",253.915278116862
114,2014-05-05 17:00:00,2014-05-05,"05:00 PM",2014,"May","Monday",125,5,18,"1","Q2",17,"No",259.330177307129
115,2014-05-05 18:00:00,2014-05-05,"06:00 PM",2014,"May","Monday",125,5,18,"1","Q2",18,"No",262.296106974284
116,2014-05-05 19:00:00,2014-05-05,"07:00 PM",2014,"May","Monday",125,5,18,"1","Q2",19,"No",271.35913848877
117,2014-05-05 20:00:00,2014-05-05,"08:00 PM",2014,"May","Monday",125,5,18,"1","Q2",20,"No",276.018653869629
118,2014-05-05 21:00:00,2014-05-05,"09:00 PM",2014,"May","Monday",125,5,18,"1","Q2",21,"No",269.293973286947
119,2014-05-05 22:00:00,2014-05-05,"10:00 PM",2014,"May","Monday",125,5,18,"1","Q2",22,"No",257.638254801432
120,2014-05-05 23:00:00,2014-05-05,"11:00 PM",2014,"May","Monday",125,5,18,"1","Q2",23,"No",264.790280659993
121,2014-05-06 00:00:00,2014-05-06,"12:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",0,"No",254.125162760417
122,2014-05-06 01:00:00,2014-05-06,"01:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",1,"No",256.888959248861
123,2014-05-06 02:00:00,2014-05-06,"02:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",2,"No",261.513053894043
124,2014-05-06 03:00:00,2014-05-06,"03:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",3,"No",255.944409688314
125,2014-05-06 04:00:00,2014-05-06,"04:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",4,"No",264.034006754557
126,2014-05-06 05:00:00,2014-05-06,"05:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",5,"No",261.660723368327
127,2014-05-06 06:00:00,2014-05-06,"06:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",6,"No",250.061030069987
128,2014-05-06 07:00:00,2014-05-06,"07:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",7,"No",250.864651997884
129,2014-05-06 08:00:00,2014-05-06,"08:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",8,"No",255.667722066243
130,2014-05-06 09:00:00,2014-05-06,"09:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",9,"No",247.849077860514
131,2014-05-06 10:00:00,2014-05-06,"10:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",10,"No",272.273462931315
132,2014-05-06 11:00:00,2014-05-06,"11:00 AM",2014,"May","Tuesday",126,6,18,"1","Q2",11,"No",283.458117167155
133,2014-05-06 12:00:00,2014-05-06,"12:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",12,"No",262.449628194173
134,2014-05-06 13:00:00,2014-05-06,"01:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",13,"No",242.690427144368
135,2014-05-06 14:00:00,2014-05-06,"02:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",14,"No",259.78874206543
136,2014-05-06 15:00:00,2014-05-06,"03:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",15,"No",264.646901448568
137,2014-05-06 16:00:00,2014-05-06,"04:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",16,"No",264.856409708659
138,2014-05-06 17:00:00,2014-05-06,"05:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",17,"No",264.821701049805
139,2014-05-06 18:00:00,2014-05-06,"06:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",18,"No",253.513460795085
140,2014-05-06 19:00:00,2014-05-06,"07:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",19,"No",278.55303700765
141,2014-05-06 20:00:00,2014-05-06,"08:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",20,"No",287.280611673991
142,2014-05-06 21:00:00,2014-05-06,"09:00 PM",2014,"May","Tuesday",126,6,18,"1","Q2",21,"No",271.800641377767
