,index,power,Date.Time,Date,Time,year,month.April,month.August,month.December,month.February,month.January,month.July,month.June,month.March,month.May,month.November,month.October,month.September,day.of.week.Friday,day.of.week.Monday,day.of.week.Saturday,day.of.week.Sunday,day.of.week.Thursday,day.of.week.Tuesday,day.of.week.Wednesday,day.of.year,day.of.month,week,week.of.month,quarter.Q1,quarter.Q2,quarter.Q3,quarter.Q4,hour,Temperature,Dew.Point,Humidity,Speed,Gust,Pressure,Precip.Rate,Precip.Gauge,holiday.No,predict_pow,holiday.Yes,num.classes,num.students
17515,17516,296.93132019043,2016-05-01 00:00:00,2016-05-01,12:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,0,70.1,64.0,81,13,13,29.78,0.0,0.25,1,269.92230224609375,0,0,0
17516,17517,289.203793843587,2016-05-01 01:00:00,2016-05-01,01:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,1,69.3,63.9,83,5,11,29.79,0.0,0.0,1,271.8869323730469,0,0,0
17517,17518,283.32625579834,2016-05-01 02:00:00,2016-05-01,02:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,2,68.8,64.1,85,0,0,29.79,0.0,0.0,1,268.6700134277344,0,0,0
17518,17519,276.137896219889,2016-05-01 03:00:00,2016-05-01,03:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,3,68.6,64.6,87,2,3,29.77,0.0,0.0,1,271.67755126953125,0,0,0
17519,17520,276.23779042561796,2016-05-01 04:00:00,2016-05-01,04:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,4,68.3,64.0,86,1,5,29.78,0.0,0.0,1,266.9459533691406,0,0,0
17520,17521,264.61165364583303,2016-05-01 05:00:00,2016-05-01,05:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,5,68.4,64.1,86,3,7,29.79,0.0,0.0,1,268.2348327636719,0,0,0
17521,17522,261.644645690918,2016-05-01 06:00:00,2016-05-01,06:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,6,67.9,64.2,88,0,0,29.81,0.0,0.0,1,265.2821350097656,0,0,0
17522,17523,247.57211558024102,2016-05-01 07:00:00,2016-05-01,07:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,7,67.4,64.1,89,0,0,29.83,0.0,0.0,1,262.2413635253906,0,0,0
17523,17524,239.595354715983,2016-05-01 08:00:00,2016-05-01,08:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,8,68.6,65.6,90,0,0,29.84,0.0,0.0,1,259.0907897949219,0,0,0
17524,17525,236.846832275391,2016-05-01 09:00:00,2016-05-01,09:00 AM,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,122,1,18,1,0,1,0,0,9,72.1,65.6,80,0,4,29.84,0.0,0.0,1,275.68890380859375,0,0,0
